mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
900,0p2,1,20,0.2483908456603654,0.090087890625,0.1267799437046051,0.1921875029802322,0.3070976436138153,0.4652546942234039
1000,0p2,1,20,0.2995911773481403,0.1391235291957855,0.1981535851955413,0.3070312440395355,0.4930548667907715,0.7443244457244873
1500,0p2,1,20,1.0305265321824535,0.437548816204071,0.6232005953788757,0.965624988079071,1.5429784059524536,2.3376212120056152
2000,0p2,1,20,1.8815485995932515,1.022216796875,1.5194625854492188,2.46875,4.161323547363281,6.801356792449951
2500,0p2,1,20,13.261516603358508,2.6982421875,4.409002780914307,7.675000190734863,13.365275382995604,22.481475830078125
3000,0p2,1,20,42.885637122633845,6.231640338897705,10.273601531982422,18.549999237060547,34.37339401245117,56.23569488525391
3500,0p2,1,20,39.85124202738358,15.681249618530272,24.09672737121582,38.59999847412109,56.90948867797852,85.48981475830078
4000,0p2,1,20,38.40978609378832,20.75390625,31.013500213623047,50.59999847412109,88.11503601074219,153.353515625
500,0p3,1,20,0.1062120258615851,0.048626709729433,0.0680381804704666,0.1003906279802322,0.1476096659898758,0.2048858851194381
600,0p3,1,20,0.1436455894981041,0.0467468276619911,0.0682152286171913,0.1078125014901161,0.1739932745695114,0.2689468264579773
700,0p3,1,20,0.0861234659808872,0.0509674064815044,0.0742785707116127,0.1144531220197677,0.1828853785991668,0.2899747192859649
800,0p3,1,20,0.1707041915947637,0.07861328125,0.1157264709472656,0.1796875,0.2806776463985443,0.4197684824466705
900,0p3,1,20,0.1315307519053202,0.0751495361328125,0.1040680184960365,0.1539062559604644,0.2330447733402252,0.3376761376857757
1000,0p3,1,20,0.1292072087588721,0.0695434585213661,0.1030474677681922,0.1648437529802322,0.263404905796051,0.399059921503067
1500,0p3,1,20,0.7995321568068685,0.3079589605331421,0.4645713567733764,0.7437499761581421,1.2240183353424072,1.9616990089416504
2000,0p3,1,20,1.3366436151208625,0.807421863079071,1.2038543224334717,1.987499952316284,3.350128650665283,5.433435440063477
2500,0p3,1,20,6.900613400531906,1.5984374284744265,2.4933958053588867,4.262499809265137,7.490695953369141,12.235029220581056
3000,0p3,1,20,12.378497479675415,4.848437786102295,7.222033977508545,11.600000381469728,18.90562057495117,29.77518653869629
3500,0p3,1,20,30.01151053134376,6.54931640625,16.578960418701172,26.299999237060547,42.23460388183594,67.29622650146484
4000,0p3,1,20,34.874296318709064,17.3671875,24.97247314453125,39.0,62.31835174560547,100.56773376464844
500,0p4,1,20,0.1934068387113523,0.0478744506835937,0.0666891112923622,0.0980468764901161,0.1468992531299591,0.210115760564804
600,0p4,1,20,0.1065129195334312,0.0482543930411338,0.0689759254455566,0.1046874970197677,0.1606042087078094,0.2326941192150116
700,0p4,1,20,0.0728330846477967,0.0369232147932052,0.0538801401853561,0.0851562470197677,0.1387872099876403,0.216703787446022
800,0p4,1,20,0.0826629783786169,0.0480377227067947,0.0724672824144363,0.1160156279802322,0.1853821128606796,0.2834706604480743
900,0p4,1,20,0.1527971192234262,0.0672027543187141,0.0937292501330375,0.1410156190395355,0.2202709168195724,0.3261685967445373
1000,0p4,1,20,0.0914406250369652,0.0618515014648437,0.0866512060165405,0.130859375,0.2012768685817718,0.292687177658081
1500,0p4,1,20,0.5520564892627552,0.3226562440395355,0.4582641422748565,0.699999988079071,1.0990028381347656,1.670106291770935
2000,0p4,1,20,2.622160500428571,0.857226550579071,1.23261559009552,1.924999952316284,3.137354850769043,5.026024341583252
2500,0p4,1,20,2.841839931574476,1.6843749284744265,2.4541869163513184,3.849999904632568,6.274709701538086,10.136933326721191
3000,0p4,1,20,5.734110499827644,4.265625,6.002978801727295,9.100000381469728,14.214491844177246,21.468807220458984
3500,0p4,1,20,8.145139685025745,7.284374713897705,10.576976776123049,16.649999618530273,26.8706111907959,38.56479263305664
4000,0p4,1,20,83.74907855422413,13.299609184265137,20.452861785888672,35.099998474121094,63.921478271484375,106.39949798583984
500,0p5,1,20,0.1017409239446486,0.0303222648799419,0.0455799102783203,0.0718749985098838,0.1116980537772178,0.1609553694725036
600,0p5,1,20,0.1184005109688455,0.0592163056135177,0.0826046913862228,0.1203124970197677,0.1764222830533981,0.243758887052536
700,0p5,1,20,0.0923488224348592,0.044842530041933,0.0631163120269775,0.0925781279802322,0.1346464455127716,0.1868541836738586
800,0p5,1,20,0.1137839203235659,0.046124268323183,0.062372587621212,0.0894531235098838,0.1304579824209213,0.1840943992137909
900,0p5,1,20,0.1108251621664147,0.0472595244646072,0.0677573233842849,0.1042968779802322,0.1645779907703399,0.2539765834808349
1000,0p5,1,20,0.1959863941341195,0.0831634476780891,0.1183190047740936,0.1789062470197677,0.2680472433567047,0.3801643252372741
1500,0p5,1,20,0.2459086157460448,0.2454956024885177,0.3492735922336578,0.528124988079071,0.820737898349762,1.2440167665481567
2000,0p5,1,20,1.2073125580791553,0.6262451410293579,0.8986687064170837,1.4187500476837158,2.368823289871216,3.7822694778442383
2500,0p5,1,20,2.0986538941618766,1.662451148033142,2.356804370880127,3.637500047683716,5.870381832122803,9.155137062072754
3000,0p5,1,20,22.88697236488219,5.28515625,7.390960693359375,11.274999618530272,17.70179557800293,26.123271942138672
3500,0p5,1,20,85.85353276625256,12.140625,17.192895889282227,25.899999618530277,39.837196350097656,69.94009399414062
4000,0p5,1,20,50.9081718743187,20.439062118530277,31.35002326965332,50.79999923706055,84.41349792480469,135.3178253173828
500,0p6,1,20,0.0684857346360978,0.043214414268732,0.0593320950865745,0.0871093720197677,0.1319009661674499,0.1906017810106277
600,0p6,1,20,0.073544788331483,0.0459274314343929,0.0637859031558036,0.0925781279802322,0.140919804573059,0.2068245410919189
700,0p6,1,20,0.0932209745305626,0.0467193573713302,0.0651718825101852,0.0949218720197677,0.138433575630188,0.1900682598352432
800,0p6,1,20,0.0891796056456512,0.0433929450809955,0.0616303943097591,0.0941406264901161,0.1478011757135391,0.2256887108087539
900,0p6,1,20,0.0806365675080967,0.0488677956163883,0.0658997297286987,0.0933593735098838,0.1350384354591369,0.1873698383569717
1000,0p6,1,20,0.1241677600081782,0.0632797256112098,0.0914327278733253,0.1433593779802322,0.2359321117401123,0.3734340369701385
1500,0p6,1,20,0.1645976335049097,0.167724609375,0.2345523834228515,0.3578124940395355,0.5646196007728577,0.867231011390686
2000,0p6,1,20,0.7978039885816857,0.579345703125,0.8313674926757812,1.3125,2.20188570022583,3.585747241973877
2500,0p6,1,20,1.730684931679104,1.229736328125,1.7480300664901731,2.737499952316284,4.570681095123291,7.473899841308594
3000,0p6,1,20,12.869413956554242,5.007031440734863,7.178723335266113,11.050000190734863,17.6568660736084,27.746789932250977
3500,0p6,1,20,15.218906605346064,9.452342987060549,13.986248016357422,21.799999237060547,34.399879455566406,51.09268569946289
4000,0p6,1,20,19.66500129973004,13.838086128234863,19.99461936950684,31.350000381469727,50.34429168701172,82.32686614990234
500,0p7,1,20,0.1417050888760031,0.0562225356698036,0.0746259912848472,0.1042968779802322,0.1454543322324752,0.1944148689508438
600,0p7,1,20,0.0956591352974922,0.0439605712890625,0.0592821836471557,0.083984375,0.1211433261632919,0.1678130179643631
700,0p7,1,20,0.0876270621200052,0.0459503158926963,0.0629879459738731,0.0933593735098838,0.1443417966365814,0.2103011757135391
800,0p7,1,20,0.0595102840031047,0.0305862426757812,0.0544792301952838,0.0824218764901161,0.1274314671754837,0.1885509192943573
900,0p7,1,20,0.0978381879125253,0.0514251701533794,0.0718430280685424,0.1070312485098838,0.1599335074424743,0.2271812409162521
1000,0p7,1,20,0.1026912191411086,0.0607437156140804,0.0850992500782013,0.1285156309604644,0.1966473758220672,0.285379946231842
1500,0p7,1,20,0.2395891776168835,0.2106994688510894,0.3074628412723541,0.4859375059604645,0.7842305302619934,1.201374650001526
2000,0p7,1,20,0.5252964377310055,0.6198486685752869,0.8787397742271423,1.3562500476837158,2.167160749435425,3.344417095184326
2500,0p7,1,20,3.076720359719165,1.6407227516174316,2.475111484527588,3.962500095367431,6.458061695098877,10.171049118041992
3000,0p7,1,20,5.104336113599998,4.2109375,6.072021484375,9.625,16.30062484741211,26.735485076904297
3500,0p7,1,20,94.72656386433536,15.0078125,21.8331298828125,34.0,53.78671646118164,82.0755386352539
4000,0p7,1,20,239.29244283121528,25.85624885559082,37.28378677368164,59.09999847412109,100.09007263183594,171.0055389404297
500,0p8,1,20,0.2164864048748349,0.0523712188005447,0.0711109191179275,0.1023437529802322,0.1496655493974685,0.2083524912595749
