mMed,mDark,rinv,yukawa,cross_section
700,20,0.6,1.0,10.380000114440918
700,20,0.7,1.0,10.380000114440918
700,20,0.8,1.0,10.380000114440918
700,20,0.9,1.0,10.380000114440918
700,20,1.0,1.0,10.380000114440918
800,1,0.3,1.0,6.00600004196167
800,5,0.3,1.0,6.00600004196167
800,10,0.3,1.0,6.00600004196167
800,20,0.0,1.0,6.00600004196167
800,20,0.05,1.0,6.00600004196167
800,20,0.1,1.0,6.00600004196167
800,20,0.2,1.0,6.00600004196167
800,20,0.3,0.1,0.2581999897956848
800,20,0.3,0.5,0.9025999903678894
800,20,0.3,1.0,6.00600004196167
800,20,0.3,1.5,25.030000686645508
800,20,0.3,2.0,74.02999877929688
800,20,0.3,2.5,172.39999389648438
800,20,0.3,3.0,349.70001220703125
800,20,0.3,3.5,634.2999877929688
800,20,0.4,1.0,6.00600004196167
800,20,0.5,1.0,6.00600004196167
800,20,0.6,1.0,6.00600004196167
800,20,0.7,1.0,6.00600004196167
800,20,0.8,1.0,6.00600004196167
800,20,0.9,1.0,6.00600004196167
800,20,1.0,1.0,6.00600004196167
900,1,0.3,1.0,3.7170000076293945
900,5,0.3,1.0,3.7170000076293945
900,10,0.3,1.0,3.7170000076293945
900,20,0.0,1.0,3.7170000076293945
900,20,0.05,1.0,3.7170000076293945
900,20,0.1,1.0,3.7170000076293945
900,20,0.2,1.0,3.7170000076293945
900,20,0.3,0.1,0.1136000007390976
900,20,0.3,0.5,0.49570000171661377
900,20,0.3,1.0,3.7170000076293945
900,20,0.3,1.5,15.920000076293945
900,20,0.3,2.0,47.630001068115234
900,20,0.3,2.5,111.5999984741211
900,20,0.3,3.0,228.5
900,20,0.3,3.5,414.8999938964844
900,20,0.4,1.0,3.7170000076293945
900,20,0.5,1.0,3.7170000076293945
900,20,0.6,1.0,3.7170000076293945
900,20,0.7,1.0,3.7170000076293945
900,20,0.8,1.0,3.7170000076293945
900,20,0.9,1.0,3.7170000076293945
900,20,1.0,1.0,3.7170000076293945
1000,1,0.3,1.0,2.4130001068115234
1000,5,0.3,1.0,2.4130001068115234
1000,10,0.3,1.0,2.4130001068115234
1000,20,0.0,1.0,2.4130001068115234
1000,20,0.05,1.0,2.4130001068115234
1000,20,0.1,1.0,2.4130001068115234
1000,20,0.2,1.0,2.4130001068115234
1000,20,0.3,0.1,0.05282999947667122
1000,20,0.3,0.5,0.2921000123023987
1000,20,0.3,1.0,2.4130001068115234
1000,20,0.3,1.5,10.579999923706055
1000,20,0.3,2.0,31.989999771118164
1000,20,0.3,2.5,75.41000366210938
1000,20,0.3,3.0,153.39999389648438
1000,20,0.3,3.5,279.5
1000,20,0.4,1.0,2.4130001068115234
1000,20,0.5,1.0,2.4130001068115234
1000,20,0.6,1.0,2.4130001068115234
1000,20,0.7,1.0,2.4130001068115234
1000,20,0.8,1.0,2.4130001068115234
1000,20,0.9,1.0,2.4130001068115234
1000,20,1.0,1.0,2.4130001068115234
1500,1,0.3,1.0,0.4832000136375427
1500,5,0.3,1.0,0.4832000136375427
1500,10,0.3,1.0,0.4832000136375427
1500,20,0.0,1.0,0.4832000136375427
1500,20,0.05,1.0,0.4832000136375427
1500,20,0.1,1.0,0.4832000136375427
1500,20,0.2,1.0,0.4832000136375427
1500,20,0.3,0.1,0.002174000022932887
1500,20,0.3,0.5,0.041600000113248825
1500,20,0.3,1.0,0.4832000136375427
1500,20,0.3,1.5,2.2890000343322754
1500,20,0.3,2.0,7.13100004196167
1500,20,0.3,2.5,16.959999084472656
1500,20,0.3,3.0,34.650001525878906
1500,20,0.3,3.5,62.83000183105469
1500,20,0.4,1.0,0.4832000136375427
1500,20,0.5,1.0,0.4832000136375427
1500,20,0.6,1.0,0.4832000136375427
1500,20,0.7,1.0,0.4832000136375427
1500,20,0.8,1.0,0.4832000136375427
1500,20,0.9,1.0,0.4832000136375427
1500,20,1.0,1.0,0.4832000136375427
1500,30,0.3,1.0,0.4832000136375427
1500,40,0.3,1.0,0.4832000136375427
2000,1,0.3,1.0,0.16339999437332153
2000,5,0.3,1.0,0.16339999437332153
2000,10,0.3,1.0,0.16339999437332153
2000,20,0.0,1.0,0.16339999437332153
2000,20,0.05,1.0,0.16339999437332153
2000,20,0.1,1.0,0.16339999437332153
2000,20,0.2,1.0,0.16339999437332153
2000,20,0.3,0.1,0.00019350000366102904
2000,20,0.3,0.5,0.011909999884665012
2000,20,0.3,1.0,0.16339999437332153
2000,20,0.3,1.5,0.803600013256073
2000,20,0.3,2.0,2.5309998989105225
2000,20,0.3,2.5,6.061999797821045
2000,20,0.3,3.0,12.390000343322754
2000,20,0.3,3.5,23.079999923706055
2000,20,0.4,1.0,0.16339999437332153
2000,20,0.5,1.0,0.16339999437332153
2000,20,0.6,1.0,0.16339999437332153
2000,20,0.7,1.0,0.16339999437332153
2000,20,0.8,1.0,0.16339999437332153
2000,20,0.9,1.0,0.16339999437332153
2000,20,1.0,1.0,0.16339999437332153
2000,30,0.3,1.0,0.16339999437332153
2000,40,0.3,1.0,0.16339999437332153
2000,50,0.3,1.0,0.16339999437332153
2500,1,0.3,1.0,0.0717800036072731
2500,5,0.3,1.0,0.0717800036072731
2500,10,0.3,1.0,0.0717800036072731
2500,20,0.0,1.0,0.0717800036072731
2500,20,0.05,1.0,0.0717800036072731
2500,20,0.1,1.0,0.0717800036072731
2500,20,0.2,1.0,0.0717800036072731
2500,20,0.3,0.1,3.228000059607439e-05
2500,20,0.3,0.5,0.0047969999723136425
2500,20,0.3,1.0,0.0717800036072731
2500,20,0.3,1.5,0.3594000041484833
2500,20,0.3,2.0,1.1360000371932983
2500,20,0.3,2.5,2.7139999866485596
2500,20,0.3,3.0,5.563000202178955
2500,20,0.3,3.5,10.039999961853027
2500,20,0.4,1.0,0.0717800036072731
2500,20,0.5,1.0,0.0717800036072731
