mMed,mDark,rinv,yukawa,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
900.0,20,0.3,1.5,0.0181,0.0066,0.0106,0.0184,0.0321,0.0532
1000.0,20,0.3,1.5,0.0154,0.0097,0.0138,0.0215,0.0369,0.0622
1500.0,20,0.3,1.5,0.0370,0.0273,0.0409,0.0613,0.1107,0.1812
2000.0,20,0.3,1.5,0.2559,0.1144,0.1732,0.2914,0.5167,0.8832
2500.0,20,0.3,1.5,0.4193,0.2252,0.3300,0.5266,0.9044,1.5958
3000.0,20,0.3,1.5,0.6121,0.3892,0.5986,1.0352,1.9017,3.1380
3500.0,20,0.3,1.5,1.4766,0.6837,1.0426,1.7906,3.3181,5.4284
4000.0,20,0.3,1.5,3.3008,1.5124,2.4379,4.4375,8.6119,13.4556
500.0,20,0.3,2,0.0028,0.0013,0.0021,0.0035,0.0058,0.0098
600.0,20,0.3,2,0.0024,0.0019,0.0028,0.0043,0.0073,0.0120
700.0,20,0.3,2,0.0035,0.0019,0.0028,0.0043,0.0073,0.0120
800.0,20,0.3,2,0.0034,0.0026,0.0038,0.0059,0.0107,0.0174
900.0,20,0.3,2,0.0053,0.0036,0.0053,0.0090,0.0156,0.0240
1000.0,20,0.3,2,0.0056,0.0032,0.0051,0.0074,0.0126,0.0204
1500.0,20,0.3,2,0.0227,0.0144,0.0209,0.0324,0.0534,0.0876
2000.0,20,0.3,2,0.1430,0.0400,0.0587,0.0957,0.1682,0.2901
2500.0,20,0.3,2,0.0899,0.0500,0.0737,0.1207,0.2198,0.3659
3000.0,20,0.3,2,0.2906,0.1215,0.1808,0.3135,0.5559,0.9501
3500.0,20,0.3,2,0.6923,0.2573,0.4043,0.7219,1.4182,2.1890
4000.0,20,0.3,2,1.0956,0.4208,0.6421,1.0719,1.8837,3.2487
500.0,20,0.3,2.5,0.0021,0.0010,0.0015,0.0027,0.0045,0.0078
600.0,20,0.3,2.5,0.0014,0.0010,0.0015,0.0027,0.0038,0.0069
700.0,20,0.3,2.5,0.0022,0.0013,0.0021,0.0035,0.0049,0.0081
800.0,20,0.3,2.5,0.0014,0.0013,0.0021,0.0035,0.0049,0.0089
900.0,20,0.3,2.5,0.0024,0.0008,0.0021,0.0043,0.0068,0.0111
1000.0,20,0.3,2.5,0.0025,0.0022,0.0033,0.0051,0.0086,0.0142
1500.0,20,0.3,2.5,0.0140,0.0081,0.0124,0.0207,0.0369,0.0625
2000.0,20,0.3,2.5,0.0244,0.0142,0.0217,0.0371,0.0664,0.1125
2500.0,20,0.3,2.5,0.0379,0.0261,0.0401,0.0676,0.1193,0.2048
3000.0,20,0.3,2.5,0.1458,0.0640,0.1007,0.1772,0.2889,0.4511
3500.0,20,0.3,2.5,0.1138,0.1031,0.1400,0.2227,0.4073,0.6750
4000.0,20,0.3,2.5,0.3439,0.1549,0.2349,0.4141,0.7343,1.2468
500.0,20,0.3,3,0.0010,0.0004,0.0006,0.0010,0.0016,0.0026
600.0,20,0.3,3,0.0008,0.0005,0.0007,0.0012,0.0021,0.0034
700.0,20,0.3,3,0.0008,0.0005,0.0008,0.0012,0.0021,0.0038
800.0,20,0.3,3,0.0011,0.0004,0.0007,0.0016,0.0028,0.0043
900.0,20,0.3,3,0.0011,0.0008,0.0012,0.0022,0.0030,0.0053
1000.0,20,0.3,3,0.0019,0.0011,0.0015,0.0028,0.0046,0.0081
1500.0,20,0.3,3,0.0043,0.0029,0.0046,0.0084,0.0162,0.0254
2000.0,20,0.3,3,0.0124,0.0073,0.0108,0.0174,0.0293,0.0481
2500.0,20,0.3,3,0.0778,0.0197,0.0302,0.0516,0.0914,0.1563
3000.0,20,0.3,3,0.0834,0.0281,0.0415,0.0698,0.1227,0.2116
3500.0,20,0.3,3,0.2986,0.0565,0.0936,0.1711,0.3170,0.5187
4000.0,20,0.3,3,0.1381,0.0827,0.1245,0.2148,0.4118,0.6514
500.0,20,0.3,3.5,0.0004,0.0003,0.0004,0.0006,0.0009,0.0013
600.0,20,0.3,3.5,0.0002,0.0002,0.0003,0.0005,0.0008,0.0014
700.0,20,0.3,3.5,0.0004,0.0003,0.0004,0.0006,0.0012,0.0020
800.0,20,0.3,3.5,0.0004,0.0002,0.0004,0.0007,0.0012,0.0021
900.0,20,0.3,3.5,0.0007,0.0004,0.0006,0.0011,0.0019,0.0033
1000.0,20,0.3,3.5,0.0004,0.0004,0.0007,0.0016,0.0020,0.0037
1500.0,20,0.3,3.5,0.0021,0.0018,0.0026,0.0041,0.0074,0.0120
2000.0,20,0.3,3.5,0.0043,0.0040,0.0058,0.0098,0.0182,0.0293
2500.0,20,0.3,3.5,0.0163,0.0104,0.0153,0.0246,0.0391,0.0656
3000.0,20,0.3,3.5,0.0379,0.0204,0.0312,0.0532,0.0791,0.1143
3500.0,20,0.3,3.5,0.0359,0.0254,0.0385,0.0645,0.1102,0.1953
4000.0,20,0.3,3.5,0.0697,0.0458,0.0725,0.1324,0.2580,0.4015
500.0,20,0.4,1,0.0298,0.0186,0.0269,0.0418,0.0688,0.1066
600.0,20,0.4,1,0.0752,0.0280,0.0444,0.0770,0.1291,0.1938
700.0,20,0.4,1,0.0292,0.0151,0.0236,0.0410,0.0727,0.1178
800.0,20,0.4,1,0.0450,0.0288,0.0388,0.0566,0.0869,0.1259
900.0,20,0.4,1,0.0452,0.0251,0.0375,0.0605,0.1064,0.1823
1000.0,20,0.4,1,0.0365,0.0270,0.0376,0.0566,0.0887,0.1376
1500.0,20,0.4,1,0.1507,0.1176,0.1620,0.2398,0.3651,0.5515
2000.0,20,0.4,1,1.8592,0.4443,0.7346,1.3188,2.3596,3.8941
2500.0,20,0.4,1,1.5266,1.0225,1.5183,2.4813,4.1231,6.3420
3000.0,20,0.4,1,3.8556,2.0551,3.2871,5.7656,10.7757,17.4796
3500.0,20,0.4,1,17.9323,4.7681,7.5730,13.5250,25.9246,41.0088
4000.0,20,0.4,1,12.7860,7.6421,12.2039,21.3813,38.5970,64.8109
500.0,20,0.5,1,0.0315,0.0182,0.0285,0.0496,0.0864,0.1393
600.0,20,0.5,1,0.0402,0.0193,0.0295,0.0504,0.0878,0.1425
700.0,20,0.5,1,0.0287,0.0177,0.0247,0.0371,0.0563,0.0859
800.0,20,0.5,1,0.0523,0.0310,0.0424,0.0629,0.0932,0.1311
900.0,20,0.5,1,0.0605,0.0360,0.0490,0.0715,0.1065,0.1555
1000.0,20,0.5,1,0.0739,0.0384,0.0550,0.0855,0.1357,0.2105
1500.0,20,0.5,1,0.1776,0.1154,0.1673,0.2648,0.4359,0.6985
2000.0,20,0.5,1,0.4734,0.3396,0.4823,0.7594,1.2376,1.9492
2500.0,20,0.5,1,1.0544,0.8732,1.2965,2.1188,3.5883,5.9745
3000.0,20,0.5,1,11.5485,4.2268,6.0800,9.3281,13.7528,19.8604
3500.0,20,0.5,1,19.0574,8.2166,11.9481,18.9500,31.4889,52.5196
4000.0,20,0.5,1,46.0459,15.7996,23.3873,37.6250,62.5208,101.0339
500.0,20,0.6,1,0.0337,0.0255,0.0356,0.0535,0.0812,0.1179
600.0,20,0.6,1,0.0920,0.0270,0.0394,0.0629,0.1105,0.1780
700.0,20,0.6,1,0.0641,0.0303,0.0431,0.0637,0.0979,0.1394
800.0,20,0.6,1,0.0502,0.0321,0.0457,0.0691,0.1041,0.1493
900.0,20,0.6,1,0.0528,0.0377,0.0527,0.0785,0.1201,0.1753
1000.0,20,0.6,1,0.0773,0.0452,0.0635,0.0973,0.1527,0.2298
1500.0,20,0.6,1,0.3240,0.1381,0.1946,0.3008,0.4854,0.7570
2000.0,20,0.6,1,0.4574,0.3984,0.5752,0.9187,1.5706,2.6696
2500.0,20,0.6,1,1.4292,1.1115,1.5974,2.5750,4.0838,6.0448
3000.0,20,0.6,1,8.1349,3.0743,4.5193,7.5312,13.2350,21.6176
3500.0,20,0.6,1,10.5230,5.5254,7.9913,12.4625,20.1126,34.9790
4000.0,20,0.6,1,26.8147,8.9721,14.4627,26.3250,45.0030,72.1100
500.0,20,0.7,1,0.0829,0.0449,0.0611,0.0871,0.1257,0.1719
600.0,20,0.7,1,0.1371,0.0419,0.0597,0.0902,0.1381,0.2014
700.0,20,0.7,1,0.0942,0.0467,0.0647,0.0957,0.1449,0.2117
800.0,20,0.7,1,0.0418,0.0204,0.0287,0.0457,0.0734,0.1282
900.0,20,0.7,1,0.0442,0.0347,0.0515,0.0699,0.1262,0.1876
1000.0,20,0.7,1,0.0700,0.0340,0.0590,0.1000,0.1598,0.2398
1500.0,20,0.7,1,0.4697,0.1954,0.3157,0.5266,0.8414,1.2154
2000.0,20,0.7,1,0.7193,0.4453,0.6191,0.9344,1.4670,2.2937
2500.0,20,0.7,1,4.3503,1.3070,1.9206,3.1125,5.0727,7.6461
3000.0,20,0.7,1,20.5400,4.7379,6.8389,10.7812,17.2274,26.0997
3500.0,20,0.7,1,24.4970,8.1393,11.4009,17.9625,32.1392,54.4457
4000.0,20,0.7,1,57.3403,24.6926,35.2654,55.4500,87.0567,131.0219
500.0,20,0.8,1,0.0907,0.0459,0.0733,0.0926,0.1642,0.2366
600.0,20,0.8,1,0.2131,0.0456,0.0643,0.0965,0.1523,0.2305
700.0,20,0.8,1,0.0931,0.0507,0.0721,0.1090,0.1668,0.2446
800.0,20,0.8,1,0.0727,0.0417,0.0572,0.0840,0.1265,0.1814
900.0,20,0.8,1,0.0625,0.0374,0.0628,0.0832,0.1674,0.2523
1000.0,20,0.8,1,0.1432,0.0746,0.1004,0.1441,0.2125,0.3016
1500.0,20,0.8,1,0.6960,0.3214,0.4441,0.6453,1.0131,1.5990
2000.0,20,0.8,1,1.4300,0.5980,0.8357,1.3312,2.3182,3.7103
2500.0,20,0.8,1,4.8878,1.3848,2.0289,3.2375,5.3281,8.3980
3000.0,20,0.8,1,7.9945,3.2567,4.6733,7.1562,11.2353,16.9094
3500.0,20,0.8,1,28.2224,10.2950,14.6472,21.7812,34.1967,52.4677
4000.0,20,0.8,1,108.4188,22.9175,32.8520,52.1500,86.6568,138.9139
500.0,20,0.9,1,0.0668,0.0475,0.0663,0.0988,0.1473,0.2113
600.0,20,0.9,1,0.1469,0.0678,0.0976,0.1465,0.2195,0.3069
700.0,20,0.9,1,0.1593,0.0534,0.0784,0.1254,0.1939,0.2722
800.0,20,0.9,1,0.1474,0.0701,0.0967,0.1418,0.2147,0.3153
900.0,20,0.9,1,0.1664,0.0931,0.1297,0.1898,0.2799,0.3926
1000.0,20,0.9,1,0.3116,0.1023,0.1406,0.2055,0.3029,0.4324
1500.0,20,0.9,1,0.4490,0.1882,0.2753,0.4359,0.7174,1.1593
